Bug ID,Title,Severity,Affected Stories,Affected Test Cases,Preconditions,Steps to Reproduce,Expected Result,Actual Result,Evidence
BUG-01,Search accepts identical origin and destination,High,US-1.1,TC-1.1-02,"SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult.","1. Select Vellamar (VLM) in both From and To.
2. Select One way; keep departure 2026-09-28, 1 Adult and Economy.
3. Click Search flights.",Block the search and explain that origin and destination cannot be the same.,"VLM→VLM flight results appeared without validation; example VJ 485 $1,158.","VLM→VLM flight results appeared without validation; example VJ 485 $1,158."
BUG-02,Round-trip search accepts return before departure,High,US-1.1,TC-1.1-04,"SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult.","1. Select Round trip, VLM→HDX, 1 Adult and Economy.
2. Set departure 2026-09-30 and return 2026-09-20.
3. Click Search flights.",Reject a return date before departure with clear validation.,"Outbound results appeared; itinerary showed Wed, Sep 30 · Return Sun, Sep 20.","Outbound results appeared; itinerary showed Wed, Sep 30 · Return Sun, Sep 20."
BUG-03,Flight search accepts past departure and return dates,High,US-1.1,TC-1.1-05,"SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult. Execution date 2026-09-07.","1. Select Round trip, VLM→HDX, 1 Adult, Economy.
2. Set departure 2026-09-01 and return 2026-10-05; search.
3. Return to search; set departure 2026-09-28 and return 2026-09-01; search.",Reject either past travel date with validation.,Both searches opened flight results with the past dates retained in the itinerary.,Both searches opened flight results with the past dates retained in the itinerary.
BUG-04,Adult selector permits zero adults and search accepts the booking,High,"US-1.1, US-1.2","TC-1.1-06, TC-1.2-01","SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult.","1. Use Round trip with valid dates 2026-09-28 and 2026-10-05.
2. Click Adult minus at 1.
3. Observe 0 Adults, then click Search flights.",Adults must remain within 1–9 and a search must require at least one Adult.,Adults decreased 1→0; search displayed results and an itinerary with 0 passenger(s).,Adults decreased 1→0; search displayed results and an itinerary with 0 passenger(s).
BUG-05,Search accepts more infants than adults,High,US-1.2,TC-1.2-02,"SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult.","1. Use Round trip with valid dates 2026-09-28 and 2026-10-05.
2. Leave Adults at 1 and increase Infants twice to 2.
3. Click Search flights.",Prevent or reject Infants exceeding Adults.,The selector showed 1 Adult and 2 Infants; search advanced without validation.,The selector showed 1 Adult and 2 Infants; search advanced without validation.
BUG-06,Price sorting places expensive flights before cheaper flights,Medium,US-2.1,TC-2.1-01,"SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult. Six one-way Economy results are displayed.","1. Search VLM→HDX, one-way 2026-09-28, Economy, 1 Adult.
2. Select Price: low to high.
3. Read all prices from top to bottom.","Order the six prices numerically as $105, $491, $595, $636, $1,022, $1,350.","Displayed order was $1,022, $1,350, $105, $491, $595, $636. This description does not infer the sorting implementation.","Displayed order was $1,022, $1,350, $105, $491, $595, $636. This description does not infer the sorting implementation."
BUG-07,Nonstop only filter retains one-stop flights,Medium,US-2.2,TC-2.2-01,"SkyBook Flight Search is displayed. Unless overridden: VLM→HDX, 2026-09-28, Economy, 1 Adult. Full one-way Economy results are displayed.","1. Select Departure: earliest.
2. Enable Nonstop only.
3. Inspect each remaining flight’s stops.",Only zero-stop flights should remain.,AL 457 and NS 261 remained labeled 1 stop alongside three Nonstop flights.,AL 457 and NS 261 remained labeled 1 stop alongside three Nonstop flights.
BUG-08,Passenger details accepts email without a domain,Medium,US-3.1,TC-3.1-02,"Passenger details is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101. Otherwise valid data: Test User (Adult), DOB 1990-01-15, passport QA1234567, expiry 2030-12-31, email rahaf.test@example.com, phone 0791234567. Synthetic QA identity.","1. Replace the valid email with rahaf@, retaining valid phone 0791234567 and all other valid fields.
2. Click Continue to seats.",Reject email without a valid domain/TLD with clear validation.,Seat selection opened without email validation.,Seat selection opened without email validation.
BUG-09,Passenger details accepts a six-digit phone number,Medium,US-3.1,TC-3.1-02,"Passenger details is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101. Otherwise valid data: Test User (Adult), DOB 1990-01-15, passport QA1234567, expiry 2030-12-31, email rahaf.test@example.com, phone 0791234567. Synthetic QA identity.","1. Keep email rahaf.test@example.com and other identity fields valid.
2. Replace phone with 123456.
3. Click Continue to seats.",Reject phone numbers shorter than 7 digits with validation.,Seat selection opened with no phone validation.,Seat selection opened with no phone validation.
BUG-10,Passenger details accepts a future date of birth,High,US-3.2,TC-3.2-02,"Passenger details is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101. Otherwise valid data: Test User (Adult), DOB 1990-01-15, passport QA1234567, expiry 2030-12-31, email rahaf.test@example.com, phone 0791234567. Synthetic QA identity.","1. Enter DOB 2027-01-15 for the Adult passenger; leave other fields valid.
2. Click Continue to seats.",Reject a future DOB with clear validation.,Seat selection opened without DOB validation.,Seat selection opened without DOB validation.
BUG-11,Adult passenger accepts a child-age date of birth,High,US-3.2,TC-3.2-02,"Passenger details is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101. Otherwise valid data: Test User (Adult), DOB 1990-01-15, passport QA1234567, expiry 2030-12-31, email rahaf.test@example.com, phone 0791234567. Synthetic QA identity.","1. Identify Passenger 1 as ADULT.
2. Enter DOB 2020-01-15 while retaining other valid fields.
3. Click Continue to seats.",Reject DOB inconsistent with the selected Adult type (16+ years).,A DOB corresponding to age 6 was accepted for the Adult and Seat selection opened.,A DOB corresponding to age 6 was accepted for the Adult and Seat selection opened.
BUG-12,Passport expiry before departure is accepted,High,US-3.3,TC-3.3-02,"Passenger details is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101. Otherwise valid data: Test User (Adult), DOB 1990-01-15, passport QA1234567, expiry 2030-12-31, email rahaf.test@example.com, phone 0791234567. Synthetic QA identity.","1. Set passport expiry to 2026-09-20 for outbound travel 2026-09-28.
2. Click Continue to seats.",Prevent continuation and display passport-expiry validation.,Seat selection opened without expiry validation.,Seat selection opened without expiry validation.
BUG-13,Two passengers can hold the same seat,High,US-4.1,TC-4.1-01,"Seat selection is displayed for CJ 101, VLM→HDX 2026-09-28, Economy, with Test User (Adult) and Test Child (Child); an Infant is on lap.","1. Select available seat 1A for Test User.
2. Select the Test Child tab.
3. Click map seat 1A already assigned to Test User.",A seat must not be assigned to more than one passenger.,Both tabs displayed 1A and the UI reported 2/2 seated.,Both tabs displayed 1A and the UI reported 2/2 seated.
BUG-14,Continue to extras enables before all required passengers are seated,High,US-4.2,TC-4.2-01,"Fresh Seat selection for 1 Adult, 1 Child, 1 Infant, CJ 101, VLM→HDX 2026-09-28, Economy; zero seats assigned.","1. Observe Continue disabled at 0/2 seated.
2. Assign seat 1A to the Adult only.
3. Inspect Continue before seating the Child.",Continue must remain disabled until both Adult and Child have seats.,Continue became enabled at 1/2 seated; the Child still had no seat.,Continue became enabled at 1/2 seated; the Child still had no seat.
BUG-15,Negative baggage quantity reduces the booking price,High,US-5.1,TC-5.1-01,"Extras is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult+1 Child+1 Infant; Adult/Child seats 1A/1C. All meals None, baggage 0, insurance off, no promo. Total $2,958; Fares $2,913, taxes $45.","1. Click baggage minus at quantity 0.
2. Inspect quantity and price.",Baggage must not fall below 0 or create a negative charge.,"Quantity became −1, Extra baggage became −$35 and total fell from $2,958 to $2,923.","Quantity became −1, Extra baggage became −$35 and total fell from $2,958 to $2,923."
BUG-16,Baggage control permits twenty bags without a sane upper bound,Medium,US-5.1,TC-5.1-01,"Extras is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult+1 Child+1 Infant; Adult/Child seats 1A/1C. All meals None, baggage 0, insurance off, no promo. Total $2,958; Fares $2,913, taxes $45.","1. Increase baggage repeatedly.
2. Reach 20 and inspect the quantity and total.",Enforce a sane maximum per passenger.,"Twenty bags were selectable for two seat-holding passengers (plus one lap Infant); baggage $700 and total $3,658. No maximum was reached; values above 20 were not tested.","Twenty bags were selectable for two seat-holding passengers (plus one lap Infant); baggage $700 and total $3,658. No maximum was reached; values above 20 were not tested."
BUG-17,Repeated SAVE10 application accumulates discounts,High,US-5.4,TC-5.4-01,"Extras is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult+1 Child+1 Infant; Adult/Child seats 1A/1C. All meals None, baggage 0, insurance off, no promo. Total $2,958; Fares $2,913, taxes $45.","1. Enter SAVE10 and click Apply.
2. Record discount and total.
3. Click Apply twice more, recording each change.","Apply the valid promo exactly once, regardless of repeated clicks.","Discount progressed $291→$583→$874; total $2,667→$2,375→$2,084.","Discount progressed $291→$583→$874; total $2,667→$2,375→$2,084."
BUG-18,Invalid TEST promo is reported as successfully applied,Medium,US-5.4,TC-5.4-02,"Extras is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult+1 Child+1 Infant; Adult/Child seats 1A/1C. All meals None, baggage 0, insurance off, no promo. Total $2,958; Fares $2,913, taxes $45.","1. Enter TEST.
2. Click Apply.
3. Inspect message, promo indicator and total.",Reject invalid TEST with a clear error and no applied promo.,"UI displayed TEST applied and Promo code applied!, plus Promo TEST −$0.00. Total remained $2,958.","UI displayed TEST applied and Promo code applied!, plus Promo TEST −$0.00. Total remained $2,958."
BUG-19,Removing SAVE10 leaves the discounted total displayed,High,US-5.4,TC-5.4-03,"Extras is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult+1 Child+1 Infant; Adult/Child seats 1A/1C. All meals None, baggage 0, insurance off, no promo. Total $2,958; Fares $2,913, taxes $45.","1. Apply SAVE10 once; observe total $2,667.
2. Click ✕ beside SAVE10.
3. Inspect the remaining breakdown and total without changing other controls.","Remove the discount and restore total $2,958.","The promo line disappeared but Total stayed $2,667 while the remaining lines summed to $2,958.","The promo line disappeared but Total stayed $2,667 while the remaining lines summed to $2,958."
BUG-20,Payment completes with cardholder name and ZIP blank,High,US-6.1,TC-6.1-02,"Practice Payment is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult, seat 1A, no extras, total $1,067. Valid baseline: Card 4111 1111 1111 1111; name Test User; expiry 08/29; CVV 123; ZIP 94107. T&C checked unless specified.","1. Leave Name on card and Billing ZIP / postal code blank.
2. Enter valid card number, expiry 08/29 and CVV 123; accept T&C.
3. Click Pay now.",Require cardholder name and ZIP and show validation when blank.,"Booking confirmed BK-70-65 at $1,067 with both fields blank.","Booking confirmed BK-70-65 at $1,067 with both fields blank."
BUG-21,Payment accepts an expired card,High,US-6.1,TC-6.1-02,"Practice Payment is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult, seat 1A, no extras, total $1,067. Valid baseline: Card 4111 1111 1111 1111; name Test User; expiry 08/29; CVV 123; ZIP 94107. T&C checked unless specified.","1. Replace expiry with 01/20 while retaining otherwise valid payment fields.
2. Accept T&C and click Pay now.",Reject an expiry in the past with clear validation.,"Booking confirmed BK-70-28 at $1,067.","Booking confirmed BK-70-28 at $1,067."
BUG-22,"Payment accepts short, long and nonnumeric CVV values",High,US-6.1,TC-6.1-02,"Practice Payment is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult, seat 1A, no extras, total $1,067. Valid baseline: Card 4111 1111 1111 1111; name Test User; expiry 08/29; CVV 123; ZIP 94107. T&C checked unless specified.","1. In separate valid bookings, enter CVV 12, 12345, and abc respectively.
2. Keep card, name, expiry 08/29 and ZIP valid; accept T&C.
3. Click Pay now for each dataset.",CVV must be exactly 3–4 numeric digits; reject each invalid dataset.,"All three completed: 12→BK-70-67; 12345→BK-70-22; abc→BK-70-49; each $1,067.","All three completed: 12→BK-70-67; 12345→BK-70-22; abc→BK-70-49; each $1,067."
BUG-23,Payment completes without fare-rules acceptance,High,US-6.2,TC-6.2-01,"Practice Payment is displayed for VLM→HDX, one-way 2026-09-28, Economy, CJ 101, 1 Adult, seat 1A, no extras, total $1,067. Valid baseline: Card 4111 1111 1111 1111; name Test User; expiry 08/29; CVV 123; ZIP 94107. T&C checked unless specified.","1. Enter all valid payment values.
2. Leave I agree to the Fare Rules and Terms & Conditions unchecked.
3. Click Pay now.",Block payment until acceptance.,"Booking confirmed BK-70-08 at $1,067 while checkbox had remained unchecked.","Booking confirmed BK-70-08 at $1,067 while checkbox had remained unchecked."
